q1,q2,q3,xe,ye,thetae 
0.92,-0.84,-1,15.46,0.56,-52.71
0.08,-0.03,0,20.96,1.26,2.86
2.91,-0.89,-1,-6.19,13.88,58.44
1.39,-0.88,1,7.79,17.29,86.52
2.34,-0.32,0,-10.95,17.64,115.74
1.69,-3.1,0,1.41,-6.87,-80.79
1.76,-2.1,1,10.81,8.83,37.82
1.75,-1.68,1,9.1,13.52,61.31
1.83,-1.98,1,9.75,10.98,48.7
1.77,-1.35,1,6.06,16.64,81.36
2.58,-1.87,0,4.69,12.85,40.68
2.69,-2.88,0,7.45,0.41,-10.89
2.59,-1.08,-1,0.57,14.07,29.22
2.26,-0.09,1,-15.4,10.98,181.63
0.08,-2.97,-1,-4.93,3.58,-222.88
0.81,-3.12,1,1.92,-6.87,-75.06
2.44,-0.36,0,-12.17,16.74,119.18
0.64,-2.94,0,-3.71,-6.26,-131.78
1.17,-0.54,0,14.04,14.69,36.1
1.84,-2.36,-1,4.57,-3.72,-87.09
0.73,-1.6,1,16.67,0.23,7.45
1.47,-2.37,-1,2.79,-5.14,-108.86
1.04,-2.75,-1,-3.79,-3.82,-155.27
1.66,-0.96,0,10.08,15.99,40.11
2.2,-2.9,0,6.59,-3.36,-40.11
1.06,-1.23,2,8.53,11.69,104.85
2.28,-2.24,0,9.43,5.87,2.29
1.22,-0.14,0,9.0,18.92,61.88
2.44,-2.0,1,1.9,14.44,82.51
0.62,-2.8,0,-2.31,-7.41,-124.9
1.48,-0.91,0,12.42,14.53,32.66
2.29,-0.94,-1,3.5,14.5,20.05
1.23,-2.33,0,8.69,-5.88,-63.03
0.14,-2.11,0,1.49,-11.92,-112.87
1.32,-2.96,0,0.77,-7.19,-93.97
1.03,-1.7,1,15.71,3.92,18.91
2.78,-0.62,-1,-7.64,14.71,66.46
2.15,-2.59,1,8.43,6.6,32.09
1.45,-2.4,0,8.99,-4.44,-54.43
2.51,-0.6,1,-14.79,12.34,166.73
2.07,-3.1,1,7.25,-0.07,-1.72
2.85,-2.31,0,5.3,9.21,30.94
1.61,-2.43,2,7.17,8.35,67.61
2.74,-0.69,-1,-6.19,15.02,60.16
2.24,-1.03,0,0.6,18.59,69.33
2.46,-2.19,1,3.38,12.96,72.77
1.01,-2.46,-1,-0.83,-5.49,-140.37
2.9,-0.07,-1,-15.25,10.59,104.85
2.72,-0.1,0,-18.53,9.84,150.11
1.04,-2.92,0,-0.72,-7.3,-107.72
2.3,-2.65,0,8.49,0.42,-20.05
1.18,-1.04,1,12.52,13.81,65.32
2.28,-1.3,0,3.24,16.94,56.15
1.44,-2.61,1,10.54,-0.69,-9.74
1.4,-2.54,0,7.04,-5.82,-65.32
0.1,-0.66,0,18.83,-6.74,-32.09
1.17,-2.72,-1,-2.93,-4.46,-146.1
1.69,-1.76,0,13.13,5.97,-4.01
0.2,-0.79,-1,12.54,-9.5,-91.1
2.54,-2.24,-1,6.27,1.52,-40.11
2.74,-2.0,1,-2.45,14.36,99.69
1.31,-1.96,0,12.95,-1.71,-37.24
1.73,-1.96,-1,8.05,-1.28,-70.47
1.61,-2.57,0,7.75,-4.47,-55.0
0.28,-0.6,1,18.82,4.13,38.96
0.45,-2.95,-1,-5.86,1.31,-200.54
2.86,-2.91,1,4.34,7.29,54.43
2.39,-0.58,0,-8.43,18.38,103.71
2.77,-0.96,2,-13.67,5.0,218.3
1.38,-1.57,1,13.03,10.62,46.41
0.39,-0.54,-1,16.26,-4.77,-65.89
1.46,-0.37,-1,10.98,13.79,5.16
1.87,-0.7,0,3.4,19.58,67.04
2.71,-2.59,-1,5.05,-1.63,-50.42
0.24,-1.73,-1,1.8,-9.56,-142.67
1.86,-0.71,1,-2.97,18.96,123.19
1.26,-2.71,-1,-2.41,-4.75,-140.37
0.0,-1.03,1,17.6,-6.21,-1.72
0.78,-2.89,1,4.49,-7.35,-63.6
1.05,-1.56,0,15.7,-0.76,-29.22
1.12,-0.17,0,11.19,17.69,54.43
1.4,-0.06,1,-2.08,18.74,134.07
3.1,-0.81,1,-18.53,4.52,188.5
1.84,-2.22,0,11.14,1.55,-21.77
1.87,-1.73,0,11.8,8.64,8.02
3.14,-3.0,1,2.85,7.35,65.32
2.41,-2.4,-1,5.63,-1.11,-56.72
1.24,-2.0,1,14.15,3.46,13.75
2.62,-0.72,1,-15.13,11.79,166.16
0.22,-0.92,0,17.54,-7.49,-40.11
2.32,-0.12,-1,-6.35,17.31,68.75
0.46,-1.84,0,8.93,-10.64,-79.07
2.19,-1.16,0,3.14,17.7,59.01
2.51,-0.36,-1,-6.62,16.38,65.89
1.07,-1.45,-1,11.19,-3.33,-79.07
2.77,-3.11,0,6.68,-2.13,-19.48
1.46,-2.31,-1,3.46,-5.03,-106.0
2.58,-0.52,-1,-5.79,16.01,60.73
0.06,-0.45,-1,14.72,-9.13,-79.64
2.16,-2.91,1,8.01,2.78,14.32
1.47,-2.51,1,11.24,0.65,-2.29
1.52,-2.93,0,2.6,-6.83,-80.79
1.07,-0.46,-1,15.57,7.49,-22.35
2.68,-3.0,-1,2.11,-5.87,-75.63
1.61,-0.06,1,-5.94,17.9,146.1
1.33,-2.94,-1,-4.64,-3.74,-149.54
2.25,-2.19,0,9.58,6.29,3.44
2.93,-2.44,-1,5.44,1.35,-29.22
1.31,-2.62,-1,-1.11,-5.17,-132.35
0.53,-2.07,-1,0.48,-7.42,-145.53
1.15,-0.86,0,16.27,10.39,16.62
1.5,-2.04,0,12.5,-0.22,-30.94
2.91,-1.66,0,-2.4,14.89,71.62
2.85,-1.38,0,-5.3,15.94,84.22
0.95,-1.2,-1,13.06,-2.68,-71.62
1.06,-1.24,0,17.2,3.6,-10.31
1.36,-3.05,1,6.03,-4.56,-39.53
1.46,-1.08,1,8.6,16.43,79.07
1.45,-1.64,-1,10.32,-0.87,-68.18
0.47,-0.46,-1,17.08,-2.61,-56.72
3.05,-0.51,0,-18.51,8.56,145.53
1.34,-1.01,-2,7.53,2.12,-95.68
1.41,-2.71,0,4.87,-6.58,-74.48
0.26,-2.27,0,0.81,-10.87,-115.16
0.24,-0.48,0,20.4,-1.66,-13.75
1.16,-0.62,-1,15.07,6.91,-26.36
1.25,-1.91,-1,7.11,-4.62,-95.11
0.96,-1.72,1,15.89,2.58,13.75
0.7,-3.1,0,-4.97,-4.95,-137.51
0.23,-0.57,-1,15.02,-7.55,-76.78
0.07,-1.96,0,2.59,-12.8,-108.29
0.37,-2.7,1,3.38,-9.34,-76.2
1.2,-2.03,1,14.16,2.54,9.74
1.16,-0.53,-1,14.98,8.01,-21.2
1.35,-3.07,-1,-5.89,-2.96,-155.84
3.11,-0.94,0,-14.89,11.78,124.33
0.14,-0.45,1,19.0,3.3,39.53
2.96,-0.18,1,-19.05,-0.43,216.58
1.08,-1.48,0,16.19,0.72,-22.92
1.63,-1.84,0,13.28,4.07,-12.03
0.11,-0.43,0,20.25,-3.64,-18.33
1.11,-2.21,1,13.25,-0.67,-5.73
0.52,-0.32,2,8.82,10.53,126.05
2.11,-1.51,-1,8.63,7.23,-22.92
0.31,-2.9,-1,-5.6,1.5,-205.69
0.21,-1.13,-1,8.69,-10.69,-110.01
2.34,-1.43,0,3.72,16.08,52.14
2.76,-1.34,-1,0.95,12.38,24.06
1.67,-0.91,1,3.06,18.66,100.84
0.82,-0.01,1,7.94,16.99,103.71
3.07,-1.89,1,-8.32,12.71,124.9
2.48,-0.54,1,-14.91,12.23,168.45
1.38,-1.79,-1,8.87,-2.83,-80.79
0.6,-0.51,0,19.72,5.21,5.16
2.12,-0.86,-1,5.25,14.43,14.9
1.5,-1.86,0,13.6,2.05,-20.63
2.23,-1.44,-1,7.49,9.05,-12.03
2.85,-2.07,0,3.25,11.86,44.69
2.92,-0.32,0,-18.83,8.76,148.97
2.19,-2.7,1,8.22,5.58,28.07
1.43,-2.27,-1,3.79,-5.03,-105.42
0.64,-2.33,0,3.95,-9.72,-96.83
0.58,-0.27,-1,17.92,1.52,-39.53
1.86,-1.22,0,9.23,15.07,36.67
1.94,-1.22,1,1.7,18.07,98.55
3.1,-2.12,1,-5.88,12.53,113.45
3.14,-2.12,-1,3.66,6.12,1.15
0.05,-0.52,0,19.47,-5.99,-26.93
0.08,-0.85,1,18.82,-2.72,13.18
1.51,-0.18,0,3.76,20.58,76.2
2.16,-0.6,-2,2.52,9.84,-25.21
0.16,-0.57,1,19.15,2.22,33.8
0.95,-1.29,1,16.2,7.65,37.82
2.41,-1.29,-1,4.79,11.82,6.88
2.05,-0.73,-1,5.15,15.19,18.33
0.12,-0.19,0,20.92,-0.14,-4.01
1.86,-2.39,0,10.08,-0.37,-30.37
2.42,-1.24,1,-6.59,16.84,124.9
0.76,-1.04,-1,13.81,-3.82,-73.34
2.48,-0.77,0,-7.47,18.17,97.98
1.96,-0.37,1,-8.75,17.14,148.4
2.13,-1.87,-1,8.22,3.01,-42.4
2.38,-0.07,1,-16.68,8.83,189.65
2.27,-2.74,1,7.78,5.73,30.37
3.1,-2.95,0,6.85,2.38,8.59
0.79,-3.12,1,1.78,-6.9,-76.2
0.01,-0.69,0,17.89,-8.73,-38.96
0.05,-1.23,-1,5.65,-11.86,-124.9
2.25,-0.73,-1,2.03,15.92,29.79
1.47,-2.99,1,7.13,-3.5,-29.79
2.96,-1.8,-1,2.82,8.8,9.17
0.46,-0.24,0,19.93,6.16,12.61
1.54,-1.95,1,12.45,8.1,33.8
1.59,-2.64,0,6.83,-5.15,-60.16
0.83,-2.99,0,-3.06,-6.47,-123.76
2.68,-2.42,1,2.64,11.58,72.19
0.98,-2.4,-2,-1.78,0.82,-195.95
2.61,-0.38,-1,-7.98,15.68,70.47
3.06,-3.01,-1,4.09,-4.77,-54.43
2.53,-1.36,0,-0.27,16.91,67.04
1.48,-2.0,-1,7.06,-3.5,-87.09
2.37,-0.01,0,-14.95,14.74,135.22
1.07,-1.72,0,14.51,-2.33,-37.24
1.74,-2.28,0,10.83,-0.3,-30.94
0.94,-1.29,0,17.28,0.85,-20.05
1.22,-1.51,0,15.82,2.57,-16.62
0.64,-1.7,1,16.02,-2.35,-3.44
1.56,-0.73,-1,11.7,10.98,-9.74
3.11,-3.03,0,6.96,1.34,4.58
2.73,-1.7,1,-5.91,15.08,116.31
2.18,-2.12,1,6.4,12.27,60.73
0.36,-2.63,1,4.12,-9.58,-72.77
1.6,-1.63,0,13.79,6.58,-1.72
1.43,-1.67,-1,10.06,-1.35,-71.05
2.56,-2.59,1,5.1,9.41,55.58
1.23,-1.36,0,16.22,4.78,-7.45
1.62,-2.4,-1,3.18,-4.78,-101.99
2.01,-1.94,0,10.99,7.31,4.01
2.11,-1.28,0,5.85,16.34,47.56
1.46,-0.19,1,-1.66,19.0,130.06
1.5,-0.02,0,1.76,20.92,84.8
2.84,-2.54,-1,5.36,-0.36,-40.11
0.96,-0.66,0,17.39,9.87,17.19
1.96,-3.13,1,6.97,-1.15,-9.74
0.09,-1.61,-1,1.64,-10.44,-144.39
0.71,-2.2,1,12.05,-5.71,-28.07
1.87,-1.57,-1,9.98,4.25,-40.11
1.21,-1.66,-1,9.62,-3.44,-83.08
2.67,-2.42,-1,5.67,0.14,-42.97
0.83,-2.62,0,1.68,-8.5,-102.56
0.01,-1.3,0,10.88,-13.38,-73.91
2.48,-0.5,-1,-4.41,16.54,56.15
2.5,-2.12,1,2.22,13.66,79.07
0.13,-2.97,1,-1.6,-7.92,-105.42
1.05,-2.69,1,8.61,-5.09,-36.67
1.09,-0.86,-1,15.08,2.93,-44.12
1.36,-2.99,-1,-5.05,-3.57,-150.69
0.33,-1.13,0,16.38,-7.77,-45.84
2.12,-1.12,-1,7.13,11.86,0.0
2.25,-2.64,-1,3.34,-4.1,-79.64
2.11,-3.14,-1,-3.09,-6.27,-116.31
1.08,-2.53,-1,-1.25,-5.24,-140.37
2.83,-2.94,0,7.25,0.61,-6.3
2.14,-0.19,-1,-2.29,18.09,54.43
2.92,-2.19,-1,5.13,4.34,-15.47
1.97,-2.88,1,8.55,1.55,5.16
0.01,-0.74,-2,5.8,-7.4,-156.42
0.61,-2.88,0,-3.27,-6.7,-130.06
2.15,-1.96,1,5.64,13.68,68.18
0.76,-0.7,1,15.48,11.35,60.73
0.84,-1.43,-1,10.35,-5.68,-91.1
2.03,-0.08,-1,-1.62,18.47,54.43
3.05,-0.78,-2,-4.73,7.86,15.47
1.2,-1.41,0,16.23,3.61,-12.03
1.02,-0.22,-2,11.08,4.46,-68.75
1.46,-2.42,2,8.33,7.26,59.59
0.36,-0.75,1,18.76,3.81,34.95
2.56,-0.71,0,-9.71,17.3,106.0
2.82,-1.28,0,-6.21,16.21,88.24
1.44,-1.52,0,14.87,5.82,-4.58
2.48,-1.49,-1,5.32,10.08,-0.57
1.7,-2.58,0,8.02,-3.85,-50.42
2.12,-1.75,0,9.4,11.03,21.2
2.02,-1.04,-1,7.86,11.98,-1.15
0.5,-0.97,1,18.42,3.72,30.37
1.84,-0.12,2,-8.76,9.84,213.14
0.23,-2.37,1,5.97,-10.66,-65.32
0.57,-0.33,-1,17.77,0.62,-43.54
2.78,-1.2,0,-6.68,16.48,90.53
0.16,-3.11,1,-2.55,-6.72,-111.73
1.87,-0.71,0,3.53,19.52,66.46
2.72,-2.28,1,0.86,12.79,82.51
1.92,-1.25,0,8.58,15.27,38.39
2.0,-2.23,1,8.93,9.64,44.12
0.44,-1.31,1,17.79,-1.46,7.45
1.72,-0.23,-1,5.7,17.19,28.07
2.3,-0.09,1,-15.82,10.36,183.92
0.44,-2.37,1,8.06,-9.18,-53.29
2.15,-2.75,-1,1.74,-5.09,-91.67
0.6,-0.55,-1,16.84,-1.39,-54.43
2.62,-2.97,0,7.08,-1.31,-20.05
1.9,-1.58,1,6.12,15.61,75.63
1.91,-2.49,1,9.92,5.62,24.06
1.66,-0.48,-2,6.82,8.33,-46.98
2.19,-2.84,1,8.09,3.86,20.05
2.77,-2.18,1,-0.84,13.43,91.1
2.89,-1.38,-1,-0.25,12.15,29.22
1.76,-0.12,-1,3.81,18.04,36.67
2.69,-0.67,-1,-5.67,15.33,58.44
0.99,-0.57,1,11.28,15.63,81.36
0.01,-0.8,0,16.85,-9.87,-45.26
2.29,-2.86,1,7.64,4.41,24.64
2.82,-0.72,-1,-7.0,14.49,63.03
1.08,-1.5,0,16.08,0.47,-24.06
1.93,-2.83,1,8.86,1.77,5.73
2.05,-0.61,-1,4.02,16.13,25.21
1.36,-2.38,-1,2.09,-5.43,-115.74
1.95,-0.93,0,4.74,18.43,58.44
1.47,-2.06,-1,6.39,-3.93,-91.1
1.34,-0.4,1,3.2,19.0,111.15
1.39,-0.01,1,-2.48,18.59,136.36
0.59,-2.43,0,2.09,-9.6,-105.42
0.9,-2.96,-2,-3.19,4.87,-232.62
0.06,-0.57,0,19.21,-6.41,-29.22
2.62,-1.7,0,2.41,14.63,52.71
0.2,-1.36,-1,5.77,-10.85,-123.76
1.39,-2.47,1,11.54,0.15,-4.58
0.94,-1.47,1,16.41,5.28,26.93
1.85,-0.39,-1,5.12,16.79,26.36
1.72,-2.94,0,3.77,-6.23,-69.9
1.05,-1.67,-1,8.84,-4.99,-92.82
1.4,-0.79,0,12.66,14.92,34.95
0.61,-2.94,2,7.54,-3.34,-18.91
0.28,-2.24,1,8.09,-10.28,-55.0
2.42,-0.64,0,-8.16,18.32,101.99
1.61,-1.9,1,11.74,9.56,40.68
2.23,-0.74,1,-9.29,16.76,142.67
0.83,-1.94,-1,4.24,-7.11,-120.89
2.2,-0.38,1,-12.49,14.66,161.57
0.79,-2.89,-1,-5.6,-1.36,-177.62
0.91,-0.59,-1,16.38,3.33,-38.96
0.67,-2.13,-1,0.82,-7.02,-140.95
1.02,-2.38,1,11.68,-3.35,-20.63
2.67,-1.15,0,-5.53,17.16,87.09
0.99,-2.69,1,8.29,-5.6,-40.11
2.06,-2.77,0,7.33,-2.95,-40.68
1.8,-0.68,1,-2.19,19.09,121.47
2.18,-0.25,0,-8.93,18.85,110.58
0.56,-0.9,-1,14.13,-5.43,-76.78
2.38,-0.39,-1,-4.07,17.08,56.72
2.87,-1.98,0,2.07,12.76,50.99
1.26,-2.83,1,8.04,-4.11,-32.66
1.45,-2.7,1,9.83,-1.43,-14.32
2.17,-2.11,-1,7.17,0.55,-53.86
1.01,-0.07,-1,14.84,11.16,-3.44
0.99,-1.59,1,16.07,4.63,22.92
2.35,-0.87,0,-3.65,18.92,84.8
1.11,-0.54,0,14.9,13.82,32.66
0.0,-0.96,1,18.01,-5.45,2.29
2.06,-0.95,-1,6.78,13.22,6.3
1.46,-1.58,0,14.67,5.28,-6.88
1.5,-0.7,-2,7.91,5.48,-68.75
1.9,-0.27,-1,2.98,17.74,36.1
3.1,-1.44,1,-13.82,10.51,152.41
1.32,-0.13,-1,11.21,14.6,10.89
0.86,-2.05,-1,3.11,-6.89,-125.48
1.83,-0.83,1,-0.93,19.02,114.59
3.02,-0.37,1,-19.23,0.75,209.13
1.8,-1.53,-1,10.37,4.02,-41.83
3.03,-2.62,1,0.58,10.48,80.79
2.56,-0.62,-2,-1.39,9.95,-3.44
2.19,-0.05,2,-11.63,5.71,237.2
1.51,-1.27,-1,12.3,3.83,-43.54
2.33,-0.77,0,-4.67,19.08,89.38
1.8,-2.73,-1,0.13,-5.35,-110.58
0.92,-2.95,-1,-5.82,-1.49,-173.61
1.07,-3.13,0,-3.22,-6.22,-118.03
3.08,-2.38,1,-2.53,11.88,97.4
1.4,-2.37,0,9.1,-4.65,-55.58
1.56,-2.7,1,9.93,-0.34,-8.02
2.95,-0.46,1,-19.02,3.19,199.96
2.69,-0.93,-1,-2.54,14.75,43.54
0.82,-2.59,-1,-3.13,-4.29,-158.71
1.6,-1.41,-1,11.5,3.25,-46.41
2.17,-1.81,-1,8.22,4.07,-36.67
1.69,-2.35,0,10.23,-1.63,-37.82
2.06,-1.66,-1,8.94,4.95,-34.38
2.31,-2.43,-1,5.28,-1.97,-64.17
0.55,-1.08,1,18.25,3.29,26.93
0.62,-1.68,-1,5.83,-8.22,-118.03
2.9,-1.12,-1,-3.27,13.45,44.69
0.72,-1.95,0,9.94,-8.58,-70.47
2.19,-1.84,0,9.09,10.5,20.05
2.54,-1.63,-1,5.5,8.86,-5.16
1.77,-0.82,-1,9.68,12.21,-2.86
1.15,-2.58,1,10.2,-3.46,-24.64
1.86,-2.13,1,9.97,9.51,41.83
1.93,-1.99,1,8.66,11.79,53.86
2.91,-2.94,0,7.18,1.19,-1.72
0.07,-1.17,-1,6.62,-11.79,-120.32
0.12,-0.56,1,19.21,1.57,32.09
1.84,-0.61,2,-6.49,12.73,185.07
1.86,-2.9,0,5.09,-5.36,-59.59
0.69,-0.69,-1,16.18,-1.43,-57.3
1.32,-0.54,0,11.69,16.63,44.69
1.03,-0.93,0,17.53,7.4,5.73
0.23,-2.11,0,2.56,-11.74,-107.72
2.68,-1.64,-1,4.27,9.43,2.29
0.31,-0.93,1,18.86,0.66,21.77
0.07,-2.6,1,1.54,-10.52,-87.66
1.47,-2.73,0,4.99,-6.36,-72.19
2.53,-2.58,1,5.33,9.36,54.43
0.05,-1.1,1,17.47,-6.07,-2.86
1.79,-0.92,0,7.51,17.53,49.85
2.67,-2.75,0,7.72,2.06,-4.58
0.81,-2.38,-1,-1.06,-5.72,-147.25
0.73,-1.88,-1,4.24,-7.58,-123.19
2.48,-2.74,0,8.01,0.7,-14.9
1.65,-0.23,0,1.55,20.82,81.36
1.15,-2.3,1,12.64,-1.05,-8.59
2.92,-1.96,0,1.2,13.01,55.0
1.87,-0.8,-1,8.28,13.32,4.01
2.72,-0.59,1,-17.1,8.88,179.34
2.3,-1.1,0,0.41,18.27,68.75
0.81,-1.21,0,17.72,-0.38,-22.92
1.24,-0.39,0,11.51,17.14,48.7
2.03,-2.44,-1,4.44,-3.43,-80.79
2.96,-1.84,0,-0.79,13.87,64.17
1.81,-0.13,-1,3.02,18.16,38.96
1.94,-1.15,-1,9.25,10.04,-12.03
2.79,-1.5,1,-9.24,14.4,131.21
0.24,-1.82,1,12.59,-9.17,-33.23
0.19,-1.72,-1,1.43,-9.69,-144.96
2.96,-0.01,0,-20.63,3.93,169.02
0.94,-0.91,0,18.12,6.07,1.72
2.68,-1.29,1,-10.12,14.78,136.94
1.49,-1.88,0,13.51,1.65,-22.35
0.95,-2.01,-1,4.2,-6.59,-118.03
2.55,-2.99,0,6.86,-2.06,-25.21
1.6,-2.96,-1,-3.71,-4.78,-135.22
2.91,-3.1,-1,2.66,-6.21,-68.18
2.01,-0.27,-1,1.01,17.96,42.4
2.42,-0.91,1,-10.48,15.74,143.81
1.21,-2.41,-1,0.89,-5.63,-126.05
0.11,-0.22,0,20.87,-0.77,-6.3
2.87,-1.67,1,-8.33,14.06,126.05
1.91,-2.29,0,10.67,1.41,-21.77
0.92,-0.69,1,13.4,13.76,70.47
0.24,-0.72,0,19.22,-4.8,-27.5
1.74,-3.11,-1,-4.8,-4.84,-135.79
3.05,-2.07,1,-5.86,12.88,113.45
0.91,-0.19,0,14.82,14.76,41.25
0.39,-2.93,-1,-5.75,1.42,-202.83
0.98,-2.63,-1,-2.83,-4.47,-151.83
1.6,-1.23,0,12.85,12.06,21.2
0.01,-2.66,-1,-5.29,0.17,-209.13
0.24,-1.58,-1,3.53,-10.18,-134.07
2.69,-2.37,1,2.08,12.04,75.63
1.48,-0.28,-1,10.03,14.89,11.46
3.09,-1.27,0,-10.44,13.93,104.28
0.38,-0.34,0,20.49,3.16,2.29
1.7,-1.07,0,10.41,15.19,36.1
0.54,-0.77,2,11.43,8.86,101.41
1.36,-0.59,0,11.52,16.59,44.12
1.09,-1.96,1,14.69,1.76,7.45
2.99,-2.28,0,3.7,10.18,40.68
3.02,-2.19,-1,4.67,4.83,-9.74
0.24,-3.09,1,-1.83,-7.08,-106.0
1.86,-0.23,2,-8.59,10.41,207.98
2.1,-0.47,1,-10.05,16.46,150.69
1.71,-2.05,1,11.16,8.89,37.82
2.85,-2.37,1,0.14,12.22,84.8
0.39,-0.99,1,18.7,1.43,22.92
1.24,-1.09,-1,13.81,2.41,-48.7
2.56,-1.61,1,-4.37,16.04,111.73
2.59,-0.31,0,-15.08,14.29,130.63
0.82,-0.55,0,18.27,8.85,15.47
1.34,-2.8,1,8.65,-3.25,-26.36
0.29,-2.45,-1,-4.18,-3.69,-181.05
0.81,-0.62,1,14.3,12.89,68.18
1.99,-0.13,0,-6.84,19.81,106.57
2.21,-1.0,0,0.77,18.72,69.33
2.31,-1.17,1,-5.57,17.43,122.61
2.76,-2.6,1,3.21,10.14,66.46
2.29,-0.0,1,-16.15,9.5,188.5
2.5,-2.82,-1,2.77,-4.79,-75.63
1.83,-2.51,1,10.29,4.57,18.33
1.89,-2.61,-1,2.03,-4.89,-98.55
2.99,-2.08,0,1.67,12.11,52.14
1.17,-2.09,1,13.95,1.44,4.58
0.88,-2.0,1,14.46,-1.74,-6.88
2.79,-1.46,1,-9.72,14.29,133.5
2.7,-1.54,1,-7.42,15.23,123.76
2.59,-2.24,-1,6.19,1.83,-37.24
2.2,-2.41,0,9.57,2.74,-12.03
0.54,-0.44,0,19.93,5.0,5.73
2.11,-2.62,0,8.62,-0.83,-29.22
0.63,-0.66,-1,16.26,-2.09,-59.01
0.86,-0.56,-1,16.61,2.86,-40.11
2.59,-1.64,0,2.18,15.06,54.43
0.01,-1.07,-1,7.13,-12.22,-118.03
2.55,-0.57,1,-15.5,11.45,170.74
2.5,-1.3,0,-0.53,17.24,68.75
0.81,-0.88,-1,15.17,-1.56,-61.31
0.8,-0.56,1,13.95,13.31,71.05
3.08,-2.56,-1,5.3,0.68,-27.5
1.55,-2.37,-1,3.19,-4.9,-104.28
0.93,-0.86,1,14.53,12.24,61.31
1.1,-2.23,0,9.15,-6.42,-64.74
0.23,-2.34,1,6.33,-10.68,-63.6
1.11,-0.34,1,6.75,18.0,101.41
2.18,-2.38,-1,5.39,-2.17,-68.75
2.44,-2.15,1,3.3,13.25,73.91
3.04,-0.59,0,-17.75,9.64,140.37
2.11,-0.36,-1,0.28,17.67,42.97
0.12,-0.65,1,19.23,0.47,26.93
2.35,-1.96,-1,7.29,3.63,-34.95
2.19,-2.41,2,1.31,11.02,101.99
2.95,-2.48,1,0.07,11.47,84.22
2.97,-3.01,1,4.11,6.65,55.0
1.47,-1.35,-1,12.11,2.41,-50.42
0.18,-2.52,-1,-4.84,-2.4,-191.37
2.02,-0.37,1,-9.76,16.59,151.83
1.32,-0.61,-1,13.75,9.34,-16.62
2.23,-2.43,1,7.45,9.16,45.84
2.21,-2.56,-1,3.93,-3.61,-77.35
0.95,-2.48,-1,-1.37,-5.32,-144.96
2.78,-0.76,1,-16.54,9.63,173.03
1.76,-0.77,0,6.37,18.58,56.72
2.92,-1.28,-1,-1.7,12.7,36.67
2.5,-2.85,-1,2.5,-5.04,-77.35
0.0,-0.19,-1,16.48,-7.82,-68.18
0.44,-0.1,-1,18.46,1.02,-37.82
2.49,-1.74,1,-1.69,15.9,100.27
1.58,-1.81,1,11.78,10.28,44.12
1.47,-0.65,-1,12.37,10.83,-10.31
2.93,-2.51,1,0.6,11.25,81.36
2.36,-2.85,0,7.38,-1.66,-28.07
1.62,-2.01,0,12.6,1.67,-22.35
2.91,-1.15,0,-9.45,15.36,100.84
0.86,-0.39,-1,16.85,4.94,-30.37
1.2,-0.85,0,15.69,11.32,20.05
0.26,-2.6,1,3.5,-10.04,-76.78
3.12,-2.8,0,6.29,4.56,18.33
0.93,-3.1,-1,-6.76,0.03,-181.63
1.16,-1.92,0,12.94,-3.23,-43.54
0.06,-2.23,-1,-3.96,-5.16,-181.63
0.46,-0.74,-1,15.01,-5.53,-73.34
1.65,-1.03,-1,11.64,8.45,-21.77
0.15,-3.11,-1,-4.75,4.89,-226.89
2.77,-0.72,1,-16.72,9.39,174.75
2.31,-3.1,1,7.06,1.66,12.03
0.97,-1.34,2,10.07,10.23,93.39
2.01,-1.51,1,3.66,16.67,85.94
3.09,-2.08,-1,3.73,6.36,0.57
2.01,-0.14,0,-7.1,19.71,107.14
0.47,-2.34,-1,-2.57,-5.4,-164.44
0.32,-1.34,-1,7.27,-10.07,-115.74
0.7,-1.7,-1,6.22,-7.75,-114.59
0.9,-0.02,1,6.68,17.55,107.72
0.9,-0.14,-2,11.7,3.69,-71.05
1.17,-1.43,-1,11.64,-2.02,-72.19
2.63,-2.6,0,7.89,3.85,1.72
2.02,-1.01,-1,7.68,12.3,0.57
2.24,-0.05,0,-12.47,16.89,125.48
2.17,-2.66,-1,2.79,-4.49,-85.37
2.51,-2.24,0,7.84,7.87,15.47
3.0,-0.94,0,-13.51,13.35,118.03
1.48,-0.21,-1,9.46,15.52,15.47
0.11,-2.27,0,-0.82,-10.87,-123.76
2.39,-1.72,-1,6.99,6.86,-18.91
1.21,-2.19,1,13.37,0.88,1.15
1.24,-0.31,1,4.0,18.79,110.58
2.8,-0.04,-1,-14.41,11.83,100.84
1.56,-2.79,0,4.75,-6.2,-70.47
1.14,-2.65,0,3.77,-7.61,-86.52
0.12,-1.38,1,15.86,-7.63,-14.9
2.95,-1.23,-1,-2.65,12.87,41.25
1.28,-1.02,1,10.91,15.17,72.19
2.36,-0.14,-1,-6.79,17.08,69.9
2.32,-0.62,1,-12.0,15.06,154.7
2.03,-3.08,-1,-2.85,-6.01,-117.46
0.47,-3.1,0,-5.97,-3.68,-150.69
1.99,-1.8,0,10.9,9.04,10.89
0.82,-1.02,1,16.51,8.75,45.84
0.21,-2.1,0,2.45,-11.83,-108.29
0.37,-1.29,-1,8.37,-9.62,-110.01
1.04,-3.07,0,-2.66,-6.51,-116.31
0.29,-1.7,1,14.25,-7.7,-23.49
1.84,-2.6,-1,1.9,-4.95,-100.84
2.29,-2.61,-1,3.77,-3.72,-75.63
